id,name,gender,birth_month,registration_fee
1753,SHADOW ,M,Jan-2000,318.0
2415,ROCCO,M,Oct-2011,314.0
3328,LUIGI,M,Sep-2005,210.0
7537,PETUNIA,F,Aug-2013,304.0
8487,ROMEO,M,Oct-2008,201.0
10503,BRANDY ,M,Jan-2004,309.0
11682,SAM,M,May-2011,108.0
12307,MAY ,F,May-2004,502.0
12652,RUBY,F,Apr-2010,310.0
13839,LEO,M,Jan-2014,207.0
15671,SOPHIE,F,Aug-2011,106.0
16260,ROSITA ,F,Apr-2014,401.0
16425,KC,F,Jul-2014,410.0
16475,CODY ,M,Dec-2012,210.0
17302,FRANK,M,Apr-2013,413.0
18549,MONA,F,Feb-2013,402.0
19978,LADY ,F,Oct-2004,209.0
20335,BAILEY ,M,Apr-2006,208.0
22006,ANGEL,M,Nov-2003,201.0
22212,ZACK,M,Apr-2011,209.0
26463,SARA ,F,Jul-2010,208.0
26763,BLUE ,M,Jan-2004,301.0
26821,POGI,F,Jul-2009,208.0
26856,MAX ,M,Apr-2004,413.0
27026,SHEA,F,Jan-2008,210.0
27243,MEEZY,M,Aug-2009,209.0
28955,ROCCO,M,Jan-2007,310.0
28988,ERNIE ,M,Jan-2005,106.0
29692,MILO,M,Jun-2014,409.0
31099,DALLAS,F,May-2014,401.0
31762,RICARDO,M,Jul-2007,106.0
33848,FINN,M,May-2009,208.0
35100,RUFUS ,M,Jun-2015,301.0
38323,BET,F,Apr-2014,406.0
39177,LEO,M,Sep-2013,405.0
39851,SID,M,Aug-2011,406.0
40630,MAX,M,Jul-2010,402.0
41430,BEAU,M,Jan-2008,108.0
42035,BEAR,M,Jul-2010,210.0
43465,SUNSHINE ,F,Jan-2000,206.0
43903,BOY,F,Sep-2015,310.0
44112,MEL ,M,Dec-2002,315.0
44455,TUX ,M,Jan-2005,211.0
44756,ROSE,F,Oct-2011,402.0
44852,NINA ,F,Jan-2004,314.0
47793,SACHI,F,Oct-2006,405.0
48071,NIKO,M,Oct-2013,407.0
50583,GOGO,F,Apr-2008,102.0
52086,KAI,M,Sep-2007,203.0
52822,MAX ,M,Jan-2004,209.0
52932,CUPIA,M,Jan-2007,401.0
54241,MITTENS,F,Dec-2010,108.0
54483,OLIVER ,M,Mar-2010,111.0
55437,SALLY,F,Sep-2008,102.0
58027,FENDI ,F,Sep-2009,313.0
58267,MAGGIE,F,Nov-2007,405.0
60758,GULL ,F,Sep-2005,315.0
61685,ZEUS,M,Jan-2011,314.0
61933,DU ,M,Feb-2010,406.0
62433,KATIE,F,Mar-2007,306.0
62647,SEBASTIAN,M,Aug-2013,404.0
63181,ROSCOE,M,Apr-2008,210.0
63299,BELLA,F,Nov-2012,310.0
63577,RUBY ,F,Apr-2004,413.0
63826,FINIAN,M,May-2009,102.0
64325,ROCCO,M,Dec-2013,403.0
64448,UNKNOWN,F,Dec-2015,109.0
64548,DINO,M,Nov-2010,209.0
65159,MARKO,M,May-2009,210.0
65652,JUICY,F,Nov-2013,315.0
66254,GIZMO ,M,Jan-2000,401.0
67051,SHIBBY,F,Feb-2006,306.0
67388,ROSIE,F,Feb-2010,313.0
68383,STELLA,F,Sep-2010,107.0
68631,LUNA,F,Nov-2005,310.0
70675,PRINCE ,M,Apr-2008,409.0
71021,SQUIRT,M,Feb-2009,306.0
71385,ROCKY,M,Sep-2007,401.0
71726,SATCH,F,Sep-2008,501.0
72161,COOKIE,F,Nov-2008,111.0
72193,LEGION,F,Jan-2004,108.0
73177,JUNO,F,May-2010,413.0
74383,GIGI,F,Dec-2011,202.0
75173,MARK,M,Jan-2012,211.0
76526,BELLA ,F,Sep-2014,316.0
76715,CUJO,M,Jan-2003,208.0
77026,MARCELLO,M,Jul-2013,311.0
77550,HOGAN,M,Jun-2011,411.0
77582,MIO ,M,Jan-2015,211.0
80636,MONDAY ,M,Apr-2010,304.0
80667,JAX,M,Jan-2006,413.0
81693,BELLA,F,Feb-2008,311.0
85093,UNKNOWN,F,Jan-2016,309.0
86424,BELLA,F,Dec-2011,101.0
86857,SPARKY,M,Jan-2014,106.0
88274,MAX,M,Apr-2010,405.0
88931,ROLEX,M,Jul-2008,501.0
89059,SIMON,M,Apr-2015,402.0
89334,LULA,F,Sep-2010,303.0
89373,ONYX ,M,Apr-2015,201.0
90174,POLIZZI,M,May-2016,410.0
90453,ZOE,F,Jan-2005,406.0
91009,BRANDY,M,Feb-2009,105.0
91286,PRISCILLA ,F,Jan-2001,413.0
91624,JERRY,M,May-2016,318.0
94931,TUFFY,M,Jul-2009,206.0
96746,SANDY ,F,Apr-2016,201.0
97047,RUPERT,M,Mar-2015,410.0
97409,HALEY ,F,Jan-2005,411.0
97843,SADIE ,F,May-2013,107.0
99358,LUNA ,F,Dec-2002,107.0
101091,AUGIE,M,Jun-2011,409.0
101307,UGO,M,Jan-2009,211.0
102763,VEGAS,M,Jan-2009,407.0
103230,KISS,F,Jul-2012,112.0
103433,BIAH ,F,Jan-2004,401.0
105343,HANK,M,Feb-2005,306.0
106386,ROXY,F,Dec-2010,208.0
109913,BLACKIE ,M,Jan-2006,210.0
110958,YOFFI,F,Jan-2007,107.0
112181,R.A.,F,May-2012,410.0
112712,LETTY ,F,Jun-2014,409.0
113486,FRANKLIN,M,Oct-2011,107.0
114941,ROXY,F,Oct-2013,302.0
115518,PHEEBS,F,Dec-2013,402.0
120475,NOT ,M,Jul-2016,406.0
120587,GINGER,F,Aug-2009,208.0
120808,UNKNOWN,M,Aug-2016,112.0
120943,MAXI,F,Jan-2007,209.0
121295,HARLEY,M,Jul-2011,314.0
1,QUEEN,F,Apr-2013,101.0
2,CHEWBACCA,F,Jun-2012,102.0
3,IAN ,M,Jan-2006,102.0
4,PAIGE ,F,Jul-2014,111.0
5,BUDDY,M,Apr-2008,107.0
7,LOLA,F,Jun-2009,108.0
8,YOGI,M,Sep-2010,210.0
9,MURPHY,M,Jan-2012,208.0
10,MUNECA,F,May-2013,307.0
11,AVERY,F,Jun-2014,103.0
12,BUDDY,M,Oct-2012,503.0
13,LEMMY,F,Jul-2005,103.0
14,LOLA,F,Aug-2006,106.0
15,LOGAN ,M,Jan-2003,104.0
16,APPLE ,M,Jul-2013,109.0
17,OTIS ,F,Jan-2001,104.0
18,OSCAR,M,Dec-2008,107.0
19,SOPHIE,F,Sep-2011,503.0
20,JUNE ,F,Apr-2010,302.0
21,SARAH,F,Dec-2012,109.0
22,ELIZABETH,F,Mar-2013,106.0
23,LUCY ,F,Mar-2014,306.0
24,DOTTIE,F,Apr-2013,107.0
25,RICKY,M,Jul-2014,307.0
26,BIGS,M,Dec-2004,305.0
27,BESS ,F,Sep-2010,312.0
28,BENSON,M,Jul-2010,310.0
29,MASSIMO,M,Jul-2009,302.0
30,HEIDI-BO,F,Sep-2007,306.0
31,MAX,M,Oct-2005,107.0
32,RANGER,M,Aug-2007,315.0
33,ELAINE,F,Apr-2005,208.0
34,TIBERIUS,M,Aug-2006,108.0
35,SANDEE,F,Jun-2009,411.0
